applicationID,name,field,description
A078,Indus River dolphin conservation,Conservation Biology / Wildlife Biology,Population monitoring and conservation strategies support recovery and protection of the endangered Indus River dolphin.
A079,Protected-area management,Conservation Biology,Population and biodiversity assessments help conservation organizations design and evaluate protected-area management strategies.
A080,River dolphin conservation standards,Conservation Biology,Standardized conservation frameworks can be used to evaluate and improve management of river-dolphin populations.
A081,Insect metamorphosis research,Entomology,Systematic observations of insect life cycles established a more accurate understanding of metamorphosis from larva to adult.
A082,Insect-plant relationship research,Entomology / Ecology,Observations of insects feeding on specific plants contributed to understanding ecological relationships between insects and their host plants.
A083,Insect life-cycle documentation,Entomology / Natural History,Detailed field observations and illustrations provide evidence for the developmental stages and natural histories of insects.
A084,Botanical and zoological illustration,Natural History / Scientific Illustration,"Scientific illustrations can document species morphology, life cycles, and ecological relationships for research and education."
A085,Psychoanalytic theory,Psychology / Psychiatry,"Spielrein's theoretical work on destructive drives influenced the development of psychoanalytic ideas concerning transformation, sexuality, and human development."
A086,Child psychology,Psychology,Research connecting psychoanalysis with child development contributed to emerging theories of childhood cognition and development.
A087,Language development research,Psychology / Linguistics,Research on children's language and early words contributed to the study of language development and the relationship between language and thought.
A088,Childbirth pain management,Medicine / Obstetrics,Use of plant-derived analgesic substances and medical treatments to help manage pain during childbirth.
A089,Menstrual health treatment,Medicine / Gynecology,Treatments intended to regulate menstruation and the use of medicated pads or tampons for women's health.
A090,Preventive medicine,Medicine / Public Health,Early advocacy for preventive approaches to health and disease management.
A091,Dermatological treatment,Medicine / Dermatology,Descriptions of dermatological conditions and their manifestations contributed to the development of medieval and later approaches to skin disease.
A092,Midwifery and obstetric practice,Medicine / Midwifery,Her writings on childbirth and women's health contributed to later European medical and midwifery practices.
